full_name,country,email,phone_number,skills,work_experience,education
Dud Goad,China,dgoad0@dell.com,+86 (347) 862-6018,Bartending,6 years,Vocational Training
Grantham Giveen,Poland,ggiveen1@hhs.gov,+48 (774) 831-7577,Lutron,5 years,Bachelor's Degree
Carina Swadden,Indonesia,cswadden2@narod.ru,+62 (969) 383-4812,ICT Consultancy,6 years,Bachelor's Degree
Becka Grebbin,China,bgrebbin3@tripadvisor.com,+86 (932) 797-1734,Cross-functional Coordination,4 years,Master's Degree
Lee O'Scollain,Venezuela,loscollain4@gnu.org,+58 (489) 412-9477,MRDs,5 years,PhD
Marilyn Mish,Indonesia,mmish5@yellowpages.com,+62 (171) 431-6924,Lumion,3 years,Associate's Degree
Sonia Chevin,Russia,schevin6@yolasite.com,+7 (236) 998-7826,CQI,9 years,Bachelor's Degree
Jasen Christoffersen,Belarus,jchristoffersen7@salon.com,+375 (106) 845-4566,Due Diligence,3 years,Associate's Degree
Alix Leppingwell,China,aleppingwell8@goo.gl,+86 (530) 886-2845,Flame AA,3 years,Bachelor's Degree
Pavlov Leitche,China,pleitche9@who.int,+86 (880) 212-0253,RTM,6 years,Associate's Degree
Bearnard Jemmett,China,bjemmetta@ted.com,+86 (619) 187-9054,Characterization,6 years,Vocational Training
Anatola Enrdigo,Indonesia,aenrdigob@arizona.edu,+62 (352) 415-8656,CSCS Card,5 years,High School
Sallie Wards,Montserrat,swardsc@shutterfly.com,+1 (326) 324-0747,VBAC,9 years,Bachelor's Degree
Ingaberg O'Longain,Uruguay,iolongaind@weather.com,+598 (925) 582-5062,Environmental Issues,9 years,Master's Degree
Hanson Point,Indonesia,hpointe@scientificamerican.com,+62 (555) 101-8594,Supplier Quality,10 years,Master's Degree
Blakelee Alenichev,Philippines,balenichevf@tumblr.com,+63 (798) 516-5550,Analysis,5 years,Bachelor's Degree
Lou Falkus,Japan,lfalkusg@imgur.com,+81 (481) 953-6399,Knitting,8 years,High School
Cairistiona MacKaig,Germany,cmackaigh@issuu.com,+49 (757) 565-8128,Eze Castle,3 years,Associate's Degree
Gaby Clifford,Portugal,gcliffordi@house.gov,+351 (571) 841-8087,DVP&amp;R,8 years,PhD
Kyle Loadman,Paraguay,kloadmanj@usatoday.com,+595 (217) 765-5313,Gas Chromatography,3 years,Bachelor's Degree
Elberta Clapison,China,eclapisonk@wordpress.org,+86 (465) 143-3042,GPIB,5 years,Vocational Training
Creigh Pallaske,Tanzania,cpallaskel@amazon.de,+255 (276) 128-0525,Axys,4 years,Bachelor's Degree
Lacy Bea,China,lbeam@vkontakte.ru,+86 (665) 519-9662,Animal Husbandry,9 years,Vocational Training
Isaiah Malinson,Syria,imalinsonn@upenn.edu,+963 (718) 748-5843,Legal Documents,7 years,PhD
Rossie Mc Ilory,Russia,rmco@theguardian.com,+7 (481) 530-4651,BSSAP,10 years,Associate's Degree
Marchelle Remon,Bolivia,mremonp@uiuc.edu,+591 (102) 486-1833,CTI,6 years,Associate's Degree
